id_estudiante,edad,grado,promedio_matematica,promedio_comunicacion,promedio_ciencias,promedio_general,num_cursos_desaprobados,porcentaje_asistencia,num_tardanzas,num_inasistencias_injustificadas,tendencia_notas,participacion_clase,entrega_tareas,repitio_grado,horas_estudio_semanal,target
3169,16.0,5,10.85,14.06,12.3,13.37,0,77.5,6,1,Empeorando,Media,64.4,1,3.9,Continua_estudiando
1163,15.0,3,18.63,14.59,16.66,17.37,0,100.0,1,0,Mejorando,Media,100.0,0,12.8,Continua_estudiando
2517,13.0,2,20.0,16.54,14.42,16.74,0,98.5,2,2,Estable,Alta,77.5,0,13.8,Continua_estudiando
2318,13.0,1,16.91,19.4,19.7,18.24,1,95.4,1,5,,Alta,73.1,1,16.1,Continua_estudiando
1686,17.0,5,17.83,13.27,14.91,15.59,0,87.4,2,2,Estable,Media,92.9,0,12.9,Continua_estudiando
1592,12.0,1,14.55,14.65,11.6,12.82,1,59.2,2,3,Estable,Baja,73.3,0,10.8,Necesita_reforzamiento
1078,14.0,3,11.13,6.91,7.62,8.86,2,55.4,11,10,Empeorando,Media,39.6,0,,Necesita_reforzamiento
3754,14.0,3,13.01,12.34,14.5,13.22,2,88.4,7,5,Empeorando,Baja,70.8,0,9.7,Continua_estudiando
3039,12.0,1,15.72,10.6,10.46,12.35,3,90.8,3,1,Mejorando,Media,91.2,0,9.4,Necesita_reforzamiento
3765,17.0,5,14.64,20.0,13.26,14.6,0,88.3,5,2,Estable,Alta,77.7,0,11.0,Continua_estudiando
2917,14.0,3,14.93,10.69,15.6,14.84,1,84.7,8,3,Mejorando,Baja,69.0,1,6.1,Necesita_reforzamiento
1840,12.0,1,11.3,14.7,12.33,12.86,2,70.4,4,8,,Baja,65.8,1,7.7,Necesita_reforzamiento
2741,16.0,5,17.76,17.67,17.58,18.04,1,98.5,1,3,Mejorando,Media,77.4,0,15.1,Continua_estudiando
1456,12.0,1,13.31,20.0,19.4,17.47,0,85.4,1,0,Estable,Media,96.8,0,11.9,Continua_estudiando
2320,16.0,5,5.71,5.62,8.45,6.49,4,71.8,6,6,Estable,Baja,49.4,1,0.0,Suspendido
1781,14.0,2,12.24,16.34,17.03,14.56,2,93.6,3,1,Mejorando,Alta,100.0,0,14.1,Continua_estudiando
1222,15.0,4,11.02,11.52,11.36,12.23,1,75.7,7,6,Mejorando,Media,63.5,0,7.0,Necesita_reforzamiento
1431,16.0,5,9.46,7.68,,7.91,3,69.9,6,6,Estable,Media,,0,3.8,Suspendido
3404,16.0,4,8.33,7.34,5.86,8.09,3,62.4,10,8,Empeorando,Baja,67.0,0,0.7,Suspendido
2323,16.0,5,13.64,12.97,11.72,13.07,2,80.5,4,3,Mejorando,Media,69.1,0,7.9,Continua_estudiando
3619,14.0,2,9.2,10.16,9.43,9.79,2,49.4,5,11,Estable,Media,,1,7.7,Suspendido
2256,13.0,1,8.19,10.14,12.23,10.04,4,69.9,13,7,Empeorando,Media,74.1,1,7.4,Suspendido
2319,15.0,4,9.22,12.16,11.79,10.49,2,84.5,4,4,Mejorando,Media,68.1,0,5.3,Necesita_reforzamiento
3996,14.0,2,11.32,10.06,10.92,11.07,2,74.0,5,1,Estable,Baja,74.9,0,3.3,Necesita_reforzamiento
2643,15.0,3,13.92,7.65,12.19,11.33,2,85.9,5,7,Empeorando,Baja,72.7,0,,Necesita_reforzamiento
3205,17.0,5,15.63,19.96,13.52,16.6,0,90.1,4,3,Mejorando,Alta,69.5,1,6.5,Continua_estudiando
2698,13.0,2,16.6,14.37,15.25,15.37,0,92.5,5,6,Estable,Alta,90.5,0,9.7,Necesita_reforzamiento
3959,16.0,5,11.83,10.71,13.04,11.87,3,79.8,5,3,Empeorando,Baja,53.7,0,7.9,Continua_estudiando
1670,13.0,1,17.93,14.97,14.75,15.83,0,77.0,3,2,Mejorando,Baja,91.3,0,12.3,Necesita_reforzamiento
3554,16.0,5,9.95,3.58,6.24,6.0,6,70.0,8,12,Estable,Baja,39.2,0,0.0,Suspendido
3753,13.0,2,9.84,8.17,13.65,10.57,3,76.4,4,7,Mejorando,Alta,55.4,0,3.8,Suspendido
1802,16.0,4,17.86,12.94,20.0,17.13,1,91.1,1,0,Estable,Media,,0,12.3,Continua_estudiando
2733,14.0,3,10.91,12.89,9.41,11.32,1,81.9,3,6,Empeorando,Baja,56.3,0,7.9,Necesita_reforzamiento
3366,15.0,4,10.55,8.19,6.85,8.74,2,75.6,6,7,Empeorando,Baja,74.0,0,10.3,Necesita_reforzamiento
1888,14.0,2,15.49,13.06,17.69,14.69,2,70.3,2,2,Mejorando,Alta,65.0,1,8.6,Continua_estudiando
2386,17.0,5,16.41,14.46,15.89,16.72,0,85.2,1,0,Mejorando,Alta,79.9,0,7.1,Continua_estudiando
1393,16.0,4,6.86,15.61,9.0,10.15,3,67.0,8,4,Estable,Alta,54.1,1,8.4,Necesita_reforzamiento
2919,15.0,3,14.32,11.0,13.38,12.74,2,75.1,5,4,Mejorando,Alta,67.2,0,10.3,Necesita_reforzamiento
2455,17.0,5,14.41,13.72,17.58,14.45,1,89.0,7,2,Mejorando,Alta,79.7,0,7.1,Continua_estudiando
2007,13.0,1,7.7,9.89,4.76,7.28,2,72.8,9,10,Empeorando,Baja,59.8,0,,Suspendido
1018,13.0,1,20.0,20.0,19.83,20.0,0,93.1,4,0,Mejorando,Alta,93.8,0,15.8,Continua_estudiando
2250,13.0,2,8.56,13.58,11.34,10.98,5,78.3,8,5,Mejorando,Baja,81.7,0,1.0,Suspendido
1814,17.0,5,17.82,13.78,12.42,14.94,2,85.4,5,4,Mejorando,Alta,74.9,0,7.8,Necesita_reforzamiento
1077,14.0,3,17.07,18.98,12.63,16.66,1,77.4,3,3,Mejorando,Media,88.8,0,12.7,Continua_estudiando
3496,17.0,5,10.9,7.78,11.53,9.28,3,71.2,8,7,Empeorando,Baja,60.2,0,9.6,Necesita_reforzamiento
2824,12.0,1,9.58,9.22,11.64,9.73,3,83.3,3,4,Empeorando,Media,61.0,0,9.0,Necesita_reforzamiento
3370,17.0,5,8.86,10.96,7.58,8.76,1,63.5,5,9,Estable,Baja,43.9,0,1.2,Necesita_reforzamiento
2526,16.0,5,16.14,17.93,18.09,16.78,0,75.0,3,3,Mejorando,Alta,87.2,0,14.5,Continua_estudiando
1824,16.0,4,14.73,9.71,14.68,13.53,3,72.1,6,6,Empeorando,Media,80.0,0,3.7,Necesita_reforzamiento
2780,15.0,3,12.86,7.42,7.82,10.01,5,73.5,6,7,Empeorando,Baja,54.8,0,1.1,Necesita_reforzamiento
2995,14.0,2,11.33,11.62,9.32,10.91,8,55.1,5,12,Estable,Media,,0,3.4,Necesita_reforzamiento
3462,12.0,1,9.61,9.13,10.54,9.83,3,75.2,4,4,Empeorando,Alta,61.4,0,13.0,Necesita_reforzamiento
1757,14.0,2,13.31,17.99,14.81,16.14,3,89.2,6,1,Empeorando,Baja,57.8,1,8.2,Continua_estudiando
2896,14.0,3,13.58,14.98,10.11,13.57,0,78.2,7,2,Empeorando,Media,83.4,0,12.7,Continua_estudiando
3316,13.0,2,12.83,12.34,14.22,13.3,1,100.0,2,6,Mejorando,Media,92.5,0,3.6,Continua_estudiando
2648,17.0,5,10.0,12.19,12.53,11.77,3,85.6,8,6,Estable,Media,92.9,0,6.8,Necesita_reforzamiento
3932,13.0,2,16.63,16.87,15.4,16.68,1,93.5,2,1,Mejorando,Alta,94.0,0,10.8,Continua_estudiando
3182,15.0,4,6.54,4.24,10.89,7.56,2,58.4,8,12,Empeorando,Baja,49.1,0,8.9,Suspendido
1411,15.0,4,9.54,8.52,4.08,7.55,4,,8,6,Empeorando,Baja,75.7,0,3.7,Necesita_reforzamiento
2558,13.0,1,10.8,10.42,8.94,9.7,1,,6,7,Empeorando,Baja,68.2,1,7.7,Necesita_reforzamiento
2277,12.0,1,16.71,17.99,15.85,16.62,0,90.7,2,1,Mejorando,Alta,,0,10.4,Continua_estudiando
3681,15.0,3,7.35,7.98,8.63,8.28,2,78.8,7,4,Empeorando,Baja,28.2,0,11.2,Suspendido
2158,15.0,3,10.14,17.22,14.26,14.27,3,72.6,8,7,Estable,Alta,83.7,0,,Continua_estudiando
1370,16.0,5,6.13,4.88,6.89,5.72,3,55.8,7,13,Estable,Baja,13.7,1,6.1,Suspendido
2346,14.0,3,7.99,10.95,8.45,8.68,0,87.1,7,4,Mejorando,Media,84.3,0,8.6,Necesita_reforzamiento
1215,16.0,4,9.76,10.68,9.39,9.71,5,69.0,4,3,Estable,Media,55.5,0,10.4,Necesita_reforzamiento
1415,15.0,3,12.11,14.73,13.66,12.84,1,81.5,1,3,Estable,Media,94.8,0,11.7,Continua_estudiando
3331,13.0,1,10.32,10.59,14.7,11.8,2,77.7,4,6,Estable,Baja,52.2,0,0.0,Necesita_reforzamiento
2143,14.0,2,5.06,11.07,10.02,9.58,2,80.8,9,12,Empeorando,Media,45.4,0,2.8,Suspendido
1979,16.0,5,5.3,9.52,12.46,9.66,4,63.6,7,11,Estable,Baja,27.8,0,3.1,Necesita_reforzamiento
3818,14.0,2,10.86,11.9,8.59,11.03,1,75.0,5,9,Empeorando,Baja,69.6,0,5.1,Necesita_reforzamiento
3011,13.0,2,15.68,20.0,17.94,18.54,1,86.5,0,2,Mejorando,Media,84.3,0,14.6,Continua_estudiando
3890,12.0,1,15.11,12.19,14.38,15.02,1,85.7,2,2,,Media,86.8,0,4.1,Continua_estudiando
1271,14.0,3,12.65,13.88,17.49,14.24,0,85.7,6,2,Estable,Media,38.6,0,13.7,Continua_estudiando
3644,13.0,2,8.89,5.96,8.96,8.59,8,62.3,10,9,Estable,Baja,44.2,1,11.6,Suspendido
3529,12.0,1,8.65,9.58,7.87,9.43,4,56.8,11,8,Estable,Baja,48.5,0,,Suspendido
1111,14.0,2,12.43,11.93,,11.81,2,63.9,3,2,Mejorando,Media,68.6,1,10.2,Necesita_reforzamiento
3483,13.0,1,19.34,19.84,20.0,19.87,0,100.0,2,0,Estable,Alta,100.0,0,12.6,Continua_estudiando
3234,14.0,3,14.98,7.48,13.92,13.61,5,112.7,8,7,,Media,56.2,0,5.4,Suspendido
1616,16.0,4,11.24,10.06,16.44,12.66,1,81.7,1,1,Estable,Baja,94.0,0,8.5,Necesita_reforzamiento
2757,15.0,3,19.38,17.16,20.0,19.25,0,100.0,3,4,Mejorando,Alta,85.3,0,9.8,Continua_estudiando
1759,17.0,5,15.51,20.0,12.41,14.98,3,72.6,2,4,Mejorando,Alta,95.1,0,13.4,Continua_estudiando
3948,12.0,1,16.44,11.76,12.98,13.89,4,56.6,7,7,Empeorando,Baja,46.1,0,7.0,Necesita_reforzamiento
3788,15.0,3,9.56,9.2,11.34,10.11,3,58.2,7,3,Empeorando,Media,60.4,0,6.6,Necesita_reforzamiento
1187,13.0,1,15.5,20.0,18.55,18.27,0,78.7,2,1,Mejorando,Alta,100.0,0,7.3,Continua_estudiando
3348,16.0,4,9.79,11.85,12.17,10.91,6,66.2,4,5,Estable,Baja,87.3,1,8.4,Suspendido
3688,13.0,1,8.03,7.33,3.11,5.93,1,63.1,8,11,Empeorando,Baja,26.1,0,0.0,Necesita_reforzamiento
1766,14.0,3,20.0,20.0,14.54,17.66,0,91.8,0,0,Mejorando,Alta,83.4,0,10.6,Continua_estudiando
3719,14.0,3,19.98,18.93,19.43,19.38,0,87.6,1,0,Mejorando,Alta,100.0,0,10.3,Continua_estudiando
3232,13.0,2,15.92,16.3,15.84,15.61,2,73.8,5,4,Empeorando,Baja,83.1,0,10.6,Necesita_reforzamiento
2969,15.0,3,5.19,16.55,10.47,10.95,1,75.8,6,5,Estable,Media,45.7,0,15.1,Necesita_reforzamiento
2534,16.0,4,13.41,8.94,9.61,11.65,1,72.9,4,11,Estable,Baja,57.1,0,13.2,Necesita_reforzamiento
2126,16.0,4,5.75,14.13,,10.55,3,73.2,5,3,Estable,Baja,38.5,0,7.0,Necesita_reforzamiento
1516,15.0,3,17.92,14.95,16.86,16.08,1,72.6,0,2,Mejorando,Alta,85.7,0,10.6,Continua_estudiando
3149,13.0,2,16.44,13.14,14.35,14.87,0,78.1,4,3,Estable,Media,,0,7.2,Necesita_reforzamiento
1952,14.0,2,16.93,15.33,17.2,16.5,0,100.0,1,0,Mejorando,Media,88.1,0,,Continua_estudiando
1904,13.0,1,5.65,5.58,11.33,6.87,4,72.4,4,7,Estable,Baja,75.8,0,14.1,Necesita_reforzamiento
2154,16.0,4,16.58,17.24,19.46,18.0,1,90.9,3,1,Mejorando,Alta,91.4,0,16.1,Continua_estudiando
3054,14.0,3,9.51,5.74,9.05,8.82,6,54.3,8,14,Empeorando,Baja,72.5,0,12.2,Suspendido
1346,15.0,4,11.13,11.21,12.24,11.66,3,79.1,7,2,Empeorando,Media,74.4,0,7.6,Necesita_reforzamiento
1392,13.0,2,15.98,14.83,17.01,15.85,0,82.2,4,5,Mejorando,Baja,60.5,1,14.7,Continua_estudiando
2802,17.0,5,10.97,7.29,12.77,10.12,2,70.3,4,8,Estable,Baja,76.0,0,2.6,Necesita_reforzamiento
3181,13.0,2,9.96,9.33,9.63,9.61,5,73.1,8,2,Empeorando,Baja,63.6,1,,Necesita_reforzamiento
2096,14.0,3,11.02,10.53,6.26,9.23,3,74.2,5,5,Estable,Alta,74.1,0,5.7,Necesita_reforzamiento
3666,14.0,3,5.88,11.24,7.88,8.84,4,71.2,8,8,Estable,Baja,42.2,0,9.0,Suspendido
2485,13.0,1,8.86,13.22,7.94,9.81,3,84.1,6,5,Estable,Baja,73.9,0,8.2,Necesita_reforzamiento
3397,16.0,5,15.16,13.79,17.98,14.76,1,87.1,0,4,Estable,Alta,86.5,0,10.9,Continua_estudiando
3926,12.0,1,5.1,10.54,11.55,10.05,2,77.7,5,8,Estable,Media,44.5,0,6.0,Necesita_reforzamiento
3565,13.0,1,5.74,12.37,9.59,9.27,3,71.7,4,6,Estable,Baja,55.5,1,,Necesita_reforzamiento
3275,16.0,5,8.68,11.53,11.26,10.75,4,85.9,8,5,Estable,Baja,66.0,0,6.5,Suspendido
3108,14.0,2,11.54,6.85,9.46,9.09,1,60.9,7,11,Empeorando,Baja,24.4,0,3.1,Suspendido
3440,17.0,5,12.68,9.06,12.76,10.59,0,63.4,3,4,Estable,Media,64.6,0,6.4,Necesita_reforzamiento
2625,16.0,4,15.83,15.66,19.96,16.93,0,88.8,5,8,Estable,Alta,71.4,0,14.8,Continua_estudiando
2999,13.0,2,14.57,9.6,11.29,11.59,3,72.2,10,5,Empeorando,Media,46.9,0,9.3,Suspendido
3770,14.0,3,8.83,7.47,8.31,8.46,5,56.1,7,10,Estable,Baja,34.3,1,3.7,Suspendido
2560,14.0,2,6.58,12.52,7.05,8.66,5,64.3,13,4,Empeorando,Baja,67.8,0,0.5,Suspendido
2799,16.0,5,10.46,14.47,13.21,13.61,1,70.6,3,6,Mejorando,Media,46.7,0,8.5,Necesita_reforzamiento
2688,14.0,3,15.37,10.97,18.03,15.19,3,86.5,2,3,Mejorando,Media,85.5,0,8.4,Necesita_reforzamiento
2951,13.0,2,6.01,5.46,7.63,6.99,1,71.6,7,7,Empeorando,Baja,64.2,0,4.9,Suspendido
3801,6.0,1,7.97,3.38,10.77,7.16,3,55.9,4,15,Empeorando,Baja,27.5,1,7.0,Suspendido
1674,14.0,3,15.38,14.29,16.38,15.74,1,91.1,5,0,,Media,80.0,0,2.8,Necesita_reforzamiento
1541,16.0,5,6.24,6.75,3.97,6.4,3,67.3,9,8,Empeorando,Baja,49.1,1,6.5,Suspendido
1795,16.0,4,14.36,18.21,16.72,17.03,0,71.8,5,2,Mejorando,Media,67.3,0,14.7,Continua_estudiando
1910,14.0,2,15.67,16.87,7.31,14.38,1,85.3,2,4,Mejorando,Alta,65.6,0,8.5,Continua_estudiando
2160,14.0,2,11.43,9.85,12.96,11.59,5,84.4,7,2,Empeorando,Media,63.3,1,10.9,Necesita_reforzamiento
2729,14.0,2,14.56,15.58,,16.33,0,95.2,0,1,Mejorando,Alta,79.5,0,11.6,Continua_estudiando
3423,16.0,5,13.41,6.86,10.18,9.56,2,75.6,5,4,Estable,Baja,42.3,1,10.2,Necesita_reforzamiento
3056,13.0,1,12.98,15.75,12.31,13.51,1,88.2,6,10,Estable,Baja,31.5,0,8.3,Necesita_reforzamiento
3686,15.0,3,10.83,12.2,10.85,10.45,4,66.7,3,8,,Media,58.2,0,10.5,Necesita_reforzamiento
1204,14.0,2,11.05,18.68,17.68,16.14,3,93.2,4,6,Estable,Baja,70.6,0,8.6,Continua_estudiando
3746,14.0,3,10.24,13.52,12.21,11.88,3,74.0,5,6,Estable,Baja,60.0,0,1.6,Necesita_reforzamiento
2902,15.0,3,20.0,20.0,19.58,20.0,0,94.7,0,0,Estable,Media,99.2,0,8.8,Continua_estudiando
1502,17.0,5,13.44,9.31,11.54,12.39,1,79.6,5,6,Empeorando,Baja,75.0,1,3.9,Suspendido
3858,14.0,3,6.91,9.86,8.35,8.95,2,73.0,6,3,Empeorando,Media,,0,12.0,Necesita_reforzamiento
3503,14.0,2,7.76,8.85,10.44,8.93,6,56.9,6,7,Empeorando,Baja,56.8,0,4.3,Suspendido
2114,17.0,5,5.5,5.39,7.85,6.32,5,73.5,13,8,Empeorando,Baja,53.1,0,4.6,Suspendido
3938,14.0,3,14.54,16.49,13.64,14.58,3,83.1,2,3,Mejorando,Alta,,0,12.5,Continua_estudiando
1567,16.0,5,9.29,12.47,14.31,12.38,2,77.9,8,2,Mejorando,Baja,48.6,1,8.6,Necesita_reforzamiento
2004,15.0,4,10.43,9.69,16.18,11.75,3,87.1,1,2,Mejorando,Media,81.1,1,10.0,Continua_estudiando
1072,14.0,2,15.26,14.06,14.26,15.37,2,70.2,3,5,Empeorando,Media,41.4,0,2.4,Necesita_reforzamiento
3121,15.0,3,20.0,16.31,13.72,17.06,0,91.2,2,1,,Media,89.5,0,12.9,Continua_estudiando
3750,13.0,2,16.55,15.19,12.75,14.6,0,75.1,1,2,Mejorando,Alta,83.9,0,,Continua_estudiando
3283,17.0,5,13.37,9.81,16.44,12.56,1,92.6,1,0,Mejorando,Alta,88.9,0,13.3,Continua_estudiando
2431,16.0,4,7.91,7.34,7.67,7.3,7,68.8,5,8,,Baja,49.2,0,,Suspendido
1202,15.0,4,12.53,7.36,8.07,9.7,0,73.8,3,7,Estable,Baja,24.3,0,5.6,Suspendido
2554,16.0,4,17.04,11.33,,12.3,3,76.7,8,5,Estable,Media,80.4,0,10.2,Continua_estudiando
2332,14.0,2,11.14,10.7,6.86,9.83,4,88.4,7,5,Estable,Media,69.3,0,12.9,Necesita_reforzamiento
2097,16.0,4,16.88,16.01,16.19,17.01,2,93.0,5,1,Estable,Alta,87.8,0,9.2,Continua_estudiando
2275,13.0,1,16.35,10.84,13.34,13.64,1,83.3,4,4,Estable,Alta,87.1,0,9.6,Continua_estudiando
2476,12.0,1,10.3,10.96,10.82,9.86,1,66.3,6,3,Empeorando,Alta,79.1,0,7.8,Necesita_reforzamiento
3696,14.0,3,16.52,11.27,16.15,14.92,0,81.2,1,3,Mejorando,Media,,1,10.1,Continua_estudiando
3428,13.0,1,10.75,15.33,16.94,14.25,1,85.8,6,9,Estable,Media,,1,9.6,Necesita_reforzamiento
1524,14.0,2,10.81,9.21,12.7,11.35,1,63.1,7,5,Empeorando,Media,45.4,0,10.4,Necesita_reforzamiento
2786,15.0,3,9.36,6.82,9.95,9.39,8,71.8,10,11,Empeorando,Baja,62.6,0,0.0,Suspendido
1439,12.0,1,12.59,14.5,14.15,13.82,1,,3,0,Estable,Media,91.3,0,18.0,Necesita_reforzamiento
3939,16.0,5,11.81,10.19,8.46,10.0,2,69.4,11,1,Estable,Media,,0,3.6,Continua_estudiando
2499,14.0,2,14.95,15.42,20.0,16.68,0,93.6,2,0,Estable,Alta,90.7,0,8.1,Continua_estudiando
1121,14.0,2,9.9,12.3,14.97,11.66,0,68.1,6,9,Mejorando,Media,59.2,0,9.3,Necesita_reforzamiento
1713,14.0,2,9.54,11.84,14.6,11.7,1,59.1,10,8,Empeorando,Baja,72.3,1,6.3,Suspendido
1867,16.0,5,4.84,4.16,7.25,5.45,5,63.1,12,8,Empeorando,Baja,55.3,0,0.0,Suspendido
2682,14.0,2,10.62,7.77,6.57,9.41,3,67.4,8,19,Empeorando,Baja,50.1,0,6.6,Suspendido
1353,14.0,3,9.96,8.26,8.23,8.71,5,66.0,7,10,Empeorando,Baja,,0,5.1,Necesita_reforzamiento
3449,13.0,2,9.26,12.01,8.61,9.68,3,62.0,9,6,Mejorando,Media,67.9,0,11.5,Necesita_reforzamiento
1858,16.0,4,10.68,10.38,7.84,9.41,3,75.6,8,8,Empeorando,Baja,27.2,1,8.9,Suspendido
2313,16.0,4,12.5,10.67,9.91,11.05,2,71.5,6,7,Estable,Media,73.6,0,7.6,Necesita_reforzamiento
1212,15.0,3,10.81,12.59,15.93,13.73,2,75.4,7,2,Estable,Media,66.3,0,10.2,Necesita_reforzamiento
1838,16.0,5,8.51,9.2,10.11,8.88,2,53.3,11,6,Empeorando,Baja,67.1,0,,Suspendido
3043,14.0,2,12.1,17.28,11.94,15.11,2,80.6,4,4,Estable,Alta,75.6,0,8.5,Necesita_reforzamiento
3452,15.0,4,4.73,11.98,6.83,7.67,2,66.5,5,7,Empeorando,Baja,41.6,0,0.0,Necesita_reforzamiento
1790,15.0,3,3.88,9.14,10.06,7.51,1,82.1,5,10,Estable,Media,45.7,0,7.9,Necesita_reforzamiento
2084,16.0,5,4.87,7.18,8.24,6.24,1,101.3,10,10,Estable,Media,39.1,1,0.0,Suspendido
2316,16.0,4,12.27,11.16,12.23,12.57,2,78.9,6,5,Estable,Media,69.8,0,0.9,Necesita_reforzamiento
1113,14.0,2,11.24,11.81,17.13,13.82,0,100.0,3,1,Estable,Media,94.4,0,8.1,Continua_estudiando
2637,13.0,2,9.0,11.11,13.31,11.53,8,72.8,2,3,Estable,Baja,49.9,0,8.2,Necesita_reforzamiento
3238,16.0,4,14.34,14.9,13.23,13.78,2,78.2,4,7,Estable,Media,56.6,0,3.1,Continua_estudiando
3784,12.0,1,14.73,16.23,12.08,14.73,1,72.7,2,1,,Alta,72.7,0,16.6,Continua_estudiando
2221,13.0,1,20.0,15.12,,18.51,1,80.1,3,1,Mejorando,Alta,79.4,0,7.7,Continua_estudiando
3511,13.0,1,9.94,13.05,13.62,12.27,1,72.2,4,9,Estable,Baja,61.5,0,4.8,Necesita_reforzamiento
3367,13.0,2,9.21,16.85,9.82,11.3,2,82.1,0,3,Mejorando,Media,96.1,0,12.4,Continua_estudiando
2595,13.0,1,8.61,11.14,11.33,9.88,4,62.4,6,6,Estable,Baja,51.3,0,1.2,Suspendido
1648,16.0,5,9.51,6.64,13.22,10.61,5,70.8,6,3,Estable,Media,59.0,1,9.6,Necesita_reforzamiento
2132,16.0,5,11.29,10.56,12.86,12.35,4,82.5,5,7,Empeorando,Media,79.7,0,4.6,Necesita_reforzamiento
3167,13.0,1,11.6,5.9,8.23,7.92,1,79.9,6,12,Empeorando,Baja,76.5,0,7.7,Suspendido
1007,13.0,1,8.06,16.87,9.11,11.07,0,79.3,3,4,Empeorando,Alta,76.2,0,5.0,Necesita_reforzamiento
3643,16.0,4,10.06,11.59,8.89,10.14,4,80.1,12,1,Empeorando,Media,,1,7.8,Necesita_reforzamiento
