id_estudiante,genero,estructura_familiar,num_hermanos,nivel_socioeconomico,nivel_educativo_padres,trabaja_estudiante,horas_trabajo_semanal,acceso_internet_hogar,distancia_colegio_km,nivel_autoestima,nivel_ansiedad,nivel_motivacion_escolar,apoyo_familiar_percibido,eventos_estresantes_recientes,relacion_con_companeros,horas_sueño_diarias,consumo_sustancias,participa_actividades_extracurriculares,atencion_psicologica_previa
2467,Femenino,Un solo padre,3,Medio,Superior,0,,1,6.61,4.0,3,4,3,0,Regular,7.4,0,0,0
3555,Masculino,Ambos padres,2,Medio,Superior,0,,0,0.87,,3,4,2,0,Regular,8.3,0,0,0
3064,Masculino,Ambos padres,0,Alto,Secundaria,0,,1,0.28,3.0,3,1,5,0,Buena,5.6,0,1,0
1189,Femenino,Otros familiares,3,Medio-bajo,Secundaria,1,16.2,1,4.02,3.0,3,3,3,0,Regular,6.9,0,0,0
3779,Masculino,Ambos padres,0,Medio,Superior,0,,1,3.51,5.0,3,4,4,0,Buena,7.5,1,0,0
1060,Femenino,Un solo padre,2,Medio,Superior,0,,0,10.4,3.0,3,4,3,1,Buena,7.4,0,1,0
1001,Masculino,Un solo padre,0,Bajo,Secundaria,0,,1,0.3,2.0,2,2,3,0,Conflictiva,7.3,0,1,0
2861,Masculino,Ambos padres,1,Medio-bajo,Secundaria,0,,0,0.16,4.0,2,3,3,0,,6.9,0,0,0
2820,Masculino,Un solo padre,0,Medio-bajo,Secundaria,1,22.7,1,3.49,2.0,3,3,2,0,Regular,6.3,0,0,0
2214,Masculino,Ambos padres,3,Medio,Primaria,1,12.2,1,0.6,4.0,3,4,4,1,Buena,5.8,0,0,0
1767,Masculino,Ambos padres,1,Medio,Superior,0,,1,0.58,5.0,2,5,5,0,Buena,8.1,0,1,0
1399,Femenino,Un solo padre,3,Medio-bajo,Secundaria,1,15.8,0,6.73,4.0,4,3,4,0,Regular,6.6,0,0,0
3082,Masculino,Ambos padres,2,Medio,Primaria,0,,0,0.57,5.0,4,4,5,1,Regular,5.2,0,0,1
1055,Masculino,Ambos padres,2,Bajo,Secundaria,1,15.0,0,1.07,1.0,4,3,2,0,Regular,3.3,0,1,0
1889,Masculino,Tutor,5,Medio,Secundaria,0,,1,1.66,2.0,2,2,2,0,Regular,7.3,0,1,0
3229,Masculino,Ambos padres,1,Medio,Secundaria,0,,1,2.78,3.0,2,4,3,0,Buena,8.1,0,0,0
